3D Blu-ray Player
OPPO BDP-103,Sony BDP-S6500,Panasonic,Yamaha,Sony BDP-S5500,Samsung BD-H5900,iVid BD780,Samsung BD-J5900,LG BP550,Denon
9.63,8.70,8.25,8.23,7.95,7.30,7.25,7.20,6.20,5.63
0.0641025641,0.0884955752,0.0495049505,0.4761904762,0.0877192982,0.1785714286,0.3225806452,0.1470588235,0.1136363636,0.0826446281
1,1,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,1
1,1,1,0,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,1,0,0,1,0,0,0
1,1,0,1,1,1,1,1,1,0
3,1,1,2,1,1,2,1,1,1
0.0925925926,0.5,0.3703703704,0.1666666667,0.5555555556,0.9090909091,0.2857142857,0.9090909091,0.5263157895,0.0925925926
0.0011429303,0.0066666667,0.0021870735,0.0010058399,0.0080505575,0.0030995834,0.0021882987,0.0030995834,0.0052352732,0.0007953153
0,1,1,1,1,1,0,1,1,0
0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1
1,1,1,1,1,1,0,1,1,1
2,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,1,1,1
0,1,1,0,1,1,0,1,1,1
