Portable DVD Player
Pyle,Audiovox,Ematic,Maxmade,Craig Electronics,Insignia,GPX,Philips,Naxa,Lexibook
9.20,9.03,8.98,8.65,7.88,7.45,7.13,7.03,6.83,6.63
5,8,8,8,2,5,5,2,0.4,2
8,8,8,8,8,8,8,8,8,8
8,8,5,5,8,8,5,8,5,2
14.0,10.1,11.6,9.0,9.0,9.0,9.0,9.0,10.0,7.0
1049088,614400,1049088,384000,0,0,149760,140800,0,112320
40,35,25,45,35,25,50,45,40,45
86,92,95,94,95,96,87,94,85,92
78,70,71,75,56,78,69,81,63,63
2.0,5.0,2.0,2.5,0,2.5,4.0,5.0,2.0,2.0
1.6,8.3,3.2,3.9,3.1,3.9,3.2,4.8,2.5,2.3
1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,0,1,0,1
1,1,1,1,1,0,1,1,1,1
1,1,1,0,1,1,1,1,1,1
0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,0,1,1
1,1,1,1,1,0,1,0,1,1
1,1,1,1,1,1,0,0,1,0
0.0684931507,0.0970873786,0.0862068966,0.1063829787,0.1086956522,0.1052631579,0.1052631579,0.1063829787,0.0909090909,0.1136363636
0.5,0.625,0.5882352941,0.625,0.625,0.625,0.5555555556,0.625,0.6666666667,0.2222222222
0.0980392157,0.1369863014,0.1136363636,0.1449275362,0.1470588235,0.1449275362,0.1351351351,0.1428571429,0.125,0.1298701299
0.1572327044,0.4566210046,0.4016064257,0.5263157895,0.5524861878,0.5263157895,0.5128205128,0.4761904762,0.3225806452,0.7246376812
1,0.25,0,0.25,0.25,0.25,0.25,1,0.25,0
1,1,1,1,1,1,1,0,1,1
0,0,0,1,1,1,1,1,0,1
0,0,1,0,0,0,0,1,0,0
