BATHROOM SCALE
Fitbit Aria Wi-Fi,Withings,QardioBase,iHealth,Etekcity,Lose It Body Fat,Weight Gurus,BlueAnatomy,Escali SmartConnect,Wahoo Balance
9.75,9.08,8.93,8.88,8.85,8.80,8.73,8.40,8.23,7.58
95,90,95,95,100,95,95,80,95,85
95,90,95,95,100,90,100,95,100,95
350,396,396,400,400,400,400,396,440,396
8,8,500,10,500,4,8,500,1,16
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0
95,90,95,90,85,80,85,75,90,80
1,1,1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,0,0,1,0
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0
100,100,100,90,85,80,95,80,95,80
0.25,0.25,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.5
0.25,0.217,0.25,0.181,0.178,0.242,0.222,0.227,0.227,0.277
1,1,3,1,1,5,5,1,50,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,0,1,1,1,1,0,1,1
1,1,1,0,1,1,0,1,1,1
1,0,0,0,0,0,0,0,0,0
