Video Game Consoles
Sony PlayStation 4,Microsoft Xbox One,Microsoft Xbox 360,Nintendo Wii U,Sony PlayStation 3,Mad Catz M.O.J.O.,NVIDIA SHIELD,Sony PlayStation TV,Nintendo Wii
9.75,9.13,6.88,6.75,6.58,6.50,6.13,3.75,3.25
8,8,3,3,7,4,4,4,1
800,853,500,550,550,672,672,533,0
500,500,250,32,500,16,16,1,0.5
1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,0,1,0
1,0,1,0,1,0,0,0,0
1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,0
1,1,1,0,1,1,0,1,0
1,0,0,1,0,1,1,0,0
0.6,0.5,0.5,100,100,100,100,100,0
4,8,4,4,7,2,1,4,4
1,1,1,0,1,0,1,0,0
1,1,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
4000,4000,1080,1080,1080,4000,720,1080,576
1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,0,0
1,1,1,1,1,0,1,0,0
1,1,1,1,1,1,1,0,0
1,1,1,0,1,1,1,0,0
1,1,0,0,1,0,0,0,0
1,1,1,0,1,0,0,0,0
0,1,1,0,1,0,0,0,0
0,1,1,0,1,1,1,0,0
1,1,1,0,1,1,1,0,1
1,1,1,1,1,1,0,1,0
1,1,1,0,1,1,0,0,0
1,1,1,0,1,0,0,0,0
1,1,1,0,0,0,0,0,0
1,0,0,0,1,1,1,0,0
0,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,0
1,0,0,1,1,1,0,1,1
0,0,0,1,0,1,1,0,1
