Gaming Steering Wheel
Logitech G27,Fanatec Porsche 911 GT2,Thrustmaster T300RS,ThrustMaster T80 Racing Wheel,Logitech Driving Force GT,ThrustMaster TX Ferrari 458 Italia,Logic3 TopDrive Wireless,Thrustmaster Ferrari 458 Spider,HORI Racing Wheel 4,SteelSeries SRW-S1
9.68,9.45,8.80,8.60,8.30,7.98,7.70,6.83,6.30,6.10
16,12,13,13,16,10,14,9,14,15
900,900,1080,1080,900,900,900,240,180,720
1,1,1,1,1,1,1,0,0,0
1,0,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,0,1
1,1,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,0,0
1,1,0,0,0,0,0,0,1,1
1,1,1,1,0,1,0,1,1,0
11,11,11,11,11,11,10,11,10,10
18.3,13,17.2,2.6,12.3,8.4,7.3,7.7,3,1.9
100,100,90,80,95,80,60,75,75,75
1,1,1,0,1,1,1,0,1,0
1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,1,1,1
1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1,0,0
1,1,1,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,1
1,1,1,1,0,0,1,1,0,0
1,0,0,1,1,0,1,0,0,0
0,1,0,1,1,1,0,0,0,1
3,1,2,2,3,2,0.25,2,0.25,1
1,1,0,0,1,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0
