PC Gaming Headsets
Astro A40,Turtle Beach Ear Force Z SEVEN,Kingston HyperX Cloud II,Razer Tiamat,Sennheiser PC-Series,SteelSeries Siberia,Tritton 720+ 7.1,Mad Catz FREQ,Creative Sound Blaster EVO,Roccat Kave
9.43,9.18,8.60,8.43,8.38,7.95,7.60,7.58,7.43,7.38
0.05,0.05,0.0666666667,0.05,0.0666666667,0.1,0.04,0.05,0.05,0.05
21,20,25,20,28,28,22,20,20,20
104,120,98,123,112,80,106,100,102,115
0.0142857143,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01
15,15,18,16,16,16,10,10,16,10
37,38,39,36,38,42,97,35,30,32
0.0208333333,0.03125,0.0166666667,0.03125,0.03125,0.03125,0.03125,0.03125,0.0344827586,0.03125
7.1,5.1,7.1,7.1,7.1,2,7.1,7.1,2,5.1
0.0877192982,0.03125,0.0833333333,0.03125,0.1,0.0416666667,0.0328947368,0.0290697674,0.0625,0.0833333333
40,50,53,40,38,50,50,50,40,40
6,10,9,10,10,9.8,12,6.6,5.9,11.8
2,1,1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,0,0,1,1,0
1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,0,1,1,0,1
1,1,0,1,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,0,1,1,0,1,1,1,1
0.5,0,0,0,1,0.5,0,0,1,1
1,1,2,1,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,1,1,1,0
1,0,1,0,0,0,1,1,0,0
