Alarm Clocks
iHome iDN38,Electrohome Projection,Emerson Dual Alarm,Sony ICFC1,Philips,La Crosse Technology,Oregon Scientific,Timex XBBU Dual Alarm,Sonic Bomb with Super Shaker,AcuRite Intelli-Time Digital
8.95,8.73,7.75,7.05,6.85,6.40,6.28,5.75,5.60,5.20
100,100,100,100,100,95,100,100,100,95
1,1,1,1,0.5,1,1,0.5,0.5,1
1,1,1,1,0,1,0,1,1,1
1,1,1,0,0,1,1,0,0,1
1,1,0,1,0,1,1,0,0,0
1,1,1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,1,0,1,0,0
1,0,0,0,1,0,0,1,0,0
9,9,9,10,9,6,8,9,7,8
60,30,60,60,1000,1000,1000,60,1000,60
6,20,20,1,10,0,0,0,0,0
1,1,1,0,1,0,0,1,1,0
1,1,1,1,1,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0
1,1,0,0,0,1,0,0,1,0
1,1,1,1,1,0,1,1,0,0
1,1,1,0,0,1,1,0,0,1
0,1,0,0,0,1,1,0,0,0
0,1,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,0
4,2,2,2,2,1,1,1,2,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0
1,1,0.25,1,1,1,0.25,0.25,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1
0,1,0,1,0,0,1,0,0,0
