Baby Sound Machine
Graco,Munchkin,The First1s,Dexbaby,HoMedics,Conair,Cloud B,Baby Einstein,Baby Shusher
10.00,9.23,8.60,8.53,8.40,7.23,6.78,6.63,4.83
1,1,1,1,0,1,1,0,0
1,1,1,1,1,0,0,0,1
1,1,1,0,0,0,0,1,0
1,1,0,1,1,1,1,0,0
1,1,0,1,1,1,1,1,0
1,0,0,1,1,1,0,0,0
1,0,0,1,0,1,0,0,0
1,1,1,1,1,1,0,0,0
1,1,1,1,1,0,1,1,1
1,1,1,0,0,1,0,1,0
1,1,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,0,0,0
1,0,1,0,1,1,1,1,1
1,1,0.25,50,1,1,2,1,1
1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1
