Baby Video Monitor
Infant Optics,Philips Avent,Levana Keera,Levana Ayden,Motorola Connect,iBaby Monitor,Snug,Motorola Digital Wireless Monitor,Summer Infant,VTech Safe & Sound
9.68,9.23,8.10,8.05,7.78,7.70,7.65,7.50,6.45,6.30
100,80,80,60,60,80,60,70,55,60
90,90,80,75,60,40,70,80,70,45
3.5,0.5,3.5,3.5,4.3,0.5,0.5,2.4,5,2.8
76800,921600,76800,76800,130560,921600,921600,76800,153600,76800
4,10,3,4,4,5,100,4,4,4
1,1,1,0,1,1,1,1,1,1
0,0,1,0,1,1,1,0,0,0
0,1,1,0,1,1,1,0,0,0
90,60,70,80,40,55,60,50,80,60
90,60,50,80,80,30,70,70,40,30
10,0,6,10,9,0,0,6.58,7.83,7.50
120,0,149,158,100,0,0,150,124,190
700,0,750,750,1000,0,0,1000,600,1000
0,1,0,0,1,1,1,0,0,0
0,1,0,0,1,1,1,0,0,1
1,0.5,1,1,1,0.5,0.5,1,1,1
0,0.5,0,0,0,0.5,0.5,1,0,0
0,0,2,0,1,0,64,0,0,0
1,1,0,1,1,1,0,1,0,1
1,1,1,0,1,1,1,1,1,1
0,1,0,1,0,0,1,0,1,1
0,10,3,3,5,0,0,5,0,5
1,2,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
