Cordless Phones
Panasonic KX-TGE274S,Panasonic KX-TG7874S,Gigaset S820A,Panasonic KX-PRL262B,Panasonic KX-TGH263B,AT&T CLP99483,Motorola L7,Motorola IT6 -2,VTech DS,VTech DS6751
9.85,9.78,9.70,9.58,9.35,9.03,8.63,8.33,7.83,7.83
13,10,20,10,10,7,12,7,7,7
11,8,10,6,6,7,7.5,5.5,7,5
7,7,9.5,7,7,11,0,12,16,11
4,3,2,2,2,4,2,2,3,2
6,6,6,6,6,12,5,4,12,5
18,18,55,18,18,14,15,30,14,14
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,0,1,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,1,0,0
1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,0,0,0,0
600,3000,500,3000,3000,200,200,100,50,200
50,50,20,50,50,50,28,50,50,50
5,5,20,5,5,10,0,10,10,10
6,6,5,6,6,6,5,5,2,5
1,1,1,1,1,1,1,0,1,1
1,1,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,0,0
