Die Cutting Machines
Silver Bullet,KNK Zing,Pazzles Inspiration,Bosskut Gazelle,Cricut Explore,KNK MAXX,Silhouette Curio,Brother ScanNCut,Silhouette CAMEO,Sizzix eclips
9.43,8.78,8.48,8.40,8.33,8.03,7.95,6.88,6.65,6.45
1,250,750,1,000,700,0,950,210,0,210,600
13,14,12,12,12,15,8.5,12,12,12
4,3,4,4,4,2,2,0,2,3
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,0
1,1,1,1,0,1,1,0,0,0
75,90,80,80,100,65,90,95,100,75
1,1,1,1,1,1,1,0,1,1
1,1,0,1,0,1,0,0,0,0
1,0,0,1,0,0,1,0,1,1
0,1,0,0,1,0,0,1,1,0
0,0,1,1,1,0,1,0,1,0
0.0740740741,0.0826446281,0.0892857143,0.0833333333,0.0917431193,0.0476190476,0.1818181818,0.1212121212,0.1818181818,0.0526315789
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,0,0,0
1,1,1,1,0,1,1,0,0,0
1,1,0,1,1,1,1,1,0,0
1,1,0,1,1,1,1,0,0,0
1,1,0,1,1,1,1,0,0,0
1,1,0,1,1,1,1,0,0,0
1,0,0,1,1,1,1,0,1,1
100,95,75,80,75,95,75,75,75,75
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1
0,1,1,0,0,1,1,0,1,0
