SANDWICH MAKER
West Bend,Cuisinart Griddler,Hamilton Beach Panini Grill,Breville Panini Duo,DeLonghi,Oster DuraCeramic,T-Fal Avante,IMUSA 3 Panini Press,Proctor-Silex Sandwich Maker,Rival
9.00,8.05,8.00,7.95,7.88,7.70,7.63,7.55,7.20,7.08
100,75,90,70,65,85,90,80,80,90
100,80,85,80,75,90,75,75,70,80
100,65,80,90,75,70,90,75,100,70
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,1,0,0
1,1,0,0,1,1,0,0,0,0
85,90,85,100,90,80,75,95,75,85
0.2,0.25,0.25,0.25,0.25,0.333,0.25,0.5,0.5,0.5
0.5,1,1,0.5,1,1,1,1,1,1
0.5,1,0.5,0.5,0.5,0.5,0.33,0.5,0.5,0.33
0.5,0.5,0.33,0.33,0.33,0.5,1,0.33,1,1
1,1,0,0,0,0,1,0,0,0
0,0,1,1,1,0,1,1,1,1
65,72,104,92,112,71,45,120,77,40
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,1,0,1,1,1,1,0,0,1
0,0,0,0,1,0,1,0,1,1
1,1,1,1,1,1,1,0.25,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,0,0,1,0,0,0,1,0,0
