Digital Pen
Livescribe 3 Smartpen,Sky Wifi Smartpen,Neo Smartpen N2,Equil Smartpen 2,Echo Smartpen,Mobile Notes Pro 2,Wacom Inkling,IRISNotes 2 Executive,IRISNotes 1 for Smartphones
10.00,9.38,8.63,8.53,8.48,8.38,8.23,8.00,7.58
100,95,95,90,95,90,100,95,95
100,95,95,90,95,90,100,80,80
1,1,1,0,1,0,0,0,0
1,1,1,1,1,1,0,0,0
14,10,12,8,10,8,15,8,8
1.6949152542,2.2222222222,2.1739130435,2,2.2222222222,1.5151515152,1.5151515152,1.9607843137,1.9607843137
0.8333333333,0.8333333333,1.1904761905,0.2604166667,0.8333333333,1.3513513514,1.3513513514,1.7857142857,1.7857142857
1.6949152542,2.3255813953,2.7027027027,9.0909090909,2.3255813953,4.347826087,4.347826087,1.7857142857,1.7857142857
0,0,0,1,0,1,1,1,1
20000,20000,1000,10000,10000,100,200,100,100
1,1,1,1,1,1,0,1,0
1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,0,1,1
1,1,1,0,1,0,0,0,0
1,1,1,1,1,1,2,2,2
1,1,0,0,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0
1,1,1,0,1,0,1,0,0
1,1,0,0,1,1,0,0,0
