Digital Photo Frame
NIX Hu-Motion,Aluratek,GiiNii,Micca,Philips,Digital Foci,ViewSonic
9.03,8.98,7.13,7.10,6.98,6.15,5.55
79,82,77,75,71,42,41
0,512,128,0,128,4000,0
480000,480000,480000,786432,480000,480000,480000
1,1,1,1,2,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,0,1,0,0
1,1,0,1,0,1,1
1,1,0,1,0,0,0
0,0,0,0,0,0,0
100,100,90,95,90,25,100
100,95,75,95,75,30,100
1,1,1,1,1,0,0
1,1,0,0,0,0,1
1,1,0.016,0.25,0.016,24,0.0008
13,11,7,10,7,0,1
1,1,1,1,1,1,1
1,1,1,1,1,1,0
1,1,1,1,1,1,1
0,0,1,0,1,0,0
1,1,0.25,1,1,1,1
1,1,1,1,1,1,1
1,1,1,0,1,1,1
1,1,0,0,1,0,0
