Electronic Translator
ECTACO 500AL,Lexibook NTL1560,Lexibook NTL800,ECTACO ECS430T,Lexibook NTL460,BBK AM103,Atlas SD302,Atlas L106
9.85,8.48,8.18,7.85,7.68,7.25,7.03,6.93
49,15,8,3,4,2,2,3
2000000,75000,40000,650000,120000,0,0,0
14000,2250,0,1100,600,0,0,0
1,0,0,1,0,1,1,0
1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0
1,1,1,1,1,0,0,0
1,1,1,0,1,0,0,1
1,1,1,0,1,0,0,0
1,1,1,0,0,0,0,0
1,1,1,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,0,0,0,1,1
1,1,1,0,0,0,0,0
1,1,1,0,0,0,0,0
0.1351351351,0.4,0.4,0.25,0.4,0.25,0.1041666667,0.1041666667
0.0787649653,0.1234567901,0.1234567901,0.0787649653,0.1234567901,0.0658436214,0.1234567901,0.1234567901
1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0
0,1,1,1,1,0,1,1
0,1,1,1,1,0,1,1
1,1,1,1,1,1,0,0
1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0
1,2,2,1,2,1,0,0
1,1,1,1,1,1,1,1
1,0,0,1,0,1,0,0
1,1,1,1,1,1,0,0
1,1,1,1,1,0,0,0
