External Battery Packs
Anker Astro E3,Jackery Giant+,HyperJuice Expand,Mophie Powerstation XL,TYLT Energi 12K,EasyACC Power Bank,RAVPower RP-PB07 Element,MyCharge The Hub 9000
9.63,9.20,9.08,8.75,8.50,8.45,8.33,7.90
10000,12000,12000,12000,12000,10000,10400,9000
2.1,2.1,2.1,2.4,2.1,2.1,2.1,2.1
1,1,1,0.4166666667,1,0.6666666667,1,1
3,1.5,2.1,2,2,1.5,1.5,0
6,10,6,11,9,10,8,5
1,1,1,1,1,1,1,0
1,1,1,0,0,0,0,0
0,0,1,0,0,0,0,0
100,90,100,75,90,95,95,80
0.059333096,0.0676041103,0.1085069444,0.0548696845,0.0502992807,0.0616370809,0.0645661157,0.0284478835
0.1234567901,0.0961538462,0.125,0.064516129,0.1075268817,0.1176470588,0.125,0.0943396226
2,2,3,2,3,2,2,3
3,3,3.6,3.1,4.2,3,3,3.6
1,1,1,1,1,1,1,1
1,1,0,1,1,1,0,0
1,1,0,1,1,1,1,1
1,1,1,1,0,1,0,1
0,1,1,0,0,0,0,0
18,18,12,12,12,12,12,12
1,1,1,1,1,1,1,1
1,1,0,0,1,0,1,1
1,1,0,1,1,0,1,1
0,0,1,0,0,0,0,0
