Home Automation Systems
HomeSeer,Control4,Crestron,Vera,Staples Connect,Iris,Savant,SmartThings,Wink,Nexia
9.85,9.68,9.58,9.05,9.00,8.78,8.63,8.55,8.48,8.00
95,100,100,95,95,90,80,85,90,80
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0.5,1,1
1,1,1,0.5,1,0.5,1,0.5,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0.5,1,1,0,0.5,1,1
1,1,1,1,1,1,1,0.5,1,1
1,1,0.5,1,1,1,0,1,1,1
0.5,1,1,0,0,0,1,0,0,0
90,100,85,90,85,80,95,95,90,95
1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1
1,1,1,0,0,0,1,0,0,0
1,0.5,1,0,1,1,0,0,0,0
1,1,1,1,0,0,1,0,0,0
1,1,1,1,0,1,0.5,1,1,1
1,1,1,1,1,1,0.5,1,1,1
1,1,1,1,1,1,0.5,1,1,1
1,1,1,1,1,1,0.5,0,1,1
1,0.5,0.5,1,1,1,0.5,1,0,0
1,0,0,1,1,0,0.5,1,0,0
