Home Security Systems
Frontpoint,Protect America,LiveWatch,ADT,Vivint,LifeShield Security,SimpliSafe,Monitronics,Protection 1,Guardian Protection Services,AlarmForce,Iris,Alarm Relay
9.88,9.58,9.50,9.08,8.83,8.50,8.38,8.20,8.00,7.88,7.33,6.70,6.13
0.033,0.05,0.0555,0.0222,0.111,1,0.111,0.033,0.0222,0.017,0.033,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,0,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,1,1,1,0,0,0,1
1,0,1,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,0.5
1,1,1,1,1,1,1,1,1,1,0,1,0.5
99,96,94,90,85,82,77,79,65,73,69,60,57
1,1,1,1,1,1,1,1,1,1,1,1,0.5
1,1,1,1,1,1,1,1,1,1,1,1,0.5
1,1,1,1,1,1,1,1,1,1,1,1,0.5
1,1,1,1,1,1,1,1,1,1,1,1,0.5
1,1,1,1,1,1,1,1,1,1,0,1,0.5
1,1,1,1,1,1,1,1,1,1,1,0,0.5
1,1,1,1,1,1,0,1,1,1,1,1,0.5
1,1,1,1,1,1,1,1,0,1,1,1,0.5
1,1,1,1,1,1,0,1,0,1,0,0,0.5
0.025,0.025,0.025,0.01,0.0125,0.017,0.02,0.0125,0.0125,0.025,0.017,0,0.5
99,97,86,69,59,96,89,54,75,78,65,81,50
1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,0,0,1,1,1,0,1,0
0,1,1,1,1,0,0,1,1,1,1,0,0
2,50,50,50,50,1,3,50,3,50,50,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,0,0,0,1,0,0,0,0
