Nanny Cam
iShot 2.0 Mini Alarm Clock Hidden Camera,SVAT PI1000 Recording System,Foscam Mini Video Speaker,Zetta Z12 Intelligent Security Camcorder,Supreme Defense Electrical Outlet,Bush Baby 2 Smoke Detector DVR,BrickHouse Camscura Micro,Bush Baby 2 Tissue Box DVR,SecureGuard Large iHome iPod Dock Spy Camera,Lawmate ChargeIt AC Adapter DVR
9.33,8.58,8.55,8.53,8.50,8.45,8.33,7.75,7.60,6.95
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,0
1,0,1,1,0,1,0,1,1,0
1,0,1,0,0,0,0,0,0,0
0,1,1,0,1,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0
0,1,0,1,1,0,1,0,0,0
0,1,1,1,0,0,1,1,1,1
1,0,1,0,0,0,0,1,1,0
1,0,0,0,1,1,0,1,0,1
72,66,45,62,66,72,62,72,80,78
1,0.5,0.33,0.15,10,1,0.8,1,2,2
0.27,0.276,0.285,0.25,0.27,0.27,0,0,0.23,0.23
1,1,1,1,1,1,1,1,1,1
1,2.5,1.5625,2,2.5,2,2.6315789474,1.4285714286,0.25,4.347826087
1228800,307200,307200,307200,307200,1228800,921600,1228800,307200,345600
29,30,30,30,12,30,20,30,12,30
32,32,32,64,8,32,64,64,32,32
0,1,0,0,8,8,0,0,4,4
