Metal Detector
Fisher F4,Garrett Ace 250,Teknetics Delta 4000,Teknetics EurotekPro DD,Bounty Hunter Pioneer 505,Minelab X-Terra 305,White's Coinmaster Pro,Barska Winbest Elite Edition,Tesoro Cibola
9.20,8.60,8.53,8.35,8.03,7.73,7.58,6.05,6.03
0.0909090909,0.1111111111,0.125,0.0909090909,0.125,0.1111111111,0.1111111111,0.125,0.1111111111
10,8,8,10,8,8,8,6,10
1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,0,1
1,1,1,0,1,0,1,1,0
0.17,0.15,0.13,0.13,0.147,0.13,0.125,0.077,0.068
5.9,6.5,7.8,7.8,6.8,18.75,8,13,14.5
4,4,3,3,4,12,3,3,1
11,12,99,99,9,12,8,6,0
6,8,9,10,2,10,8,12,2
7,5,6,69,2,3,5,12,2
1,0.5,0.5,0.5,1,1,0.5,2,0.5
1,1,1,0,1,1,1,1,0
1,1,1,1,1,1,1,1,1
90,100,85,75,65,80,75,5,55
0.3448275862,0.3703703704,0.4347826087,0.3846153846,0.3571428571,0.3448275862,0.4,0.3333333333,0.4545454545
25,30,20,25,15,20,20,20,15
1,1,1,1,0.5,1,0.5,0.5,1
1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1
1,1,0,0,0,1,0,0,0
0,0,1,1,0,1,0,1,0
5,2,5,5,5,3,2,1,50
1,1,1,0,1,0,1,0,0
1,1,1,1,0,1,1,0,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0
