Smart Locks
Schlage Sense,Danalock,Schlage Connect,Kwikset Kevo,Yale Real Living,August,Kwikset SmartCode,RemoteLock,Monoprice
9.55,8.55,8.50,8.40,8.23,7.95,7.58,7.13,6.95
100,65,90,75,80,55,65,55,55
100,75,95,60,95,50,60,60,75
1,0,1,0.5,0.5,0,0.5,0,0
1,0.5,1,0,1,0.5,1,1,1
0,0.5,0,1,0,0,0,0,0
100,95,90,65,90,95,80,80,90
1,1,0.5,1,0.5,1,0.5,1,0.5
1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,0.5
0,1,0,0.5,0,1,0,0,0
1,1,0,1,0,1,0,0.5,0
3,1,6,3,3,4,3,3,1
12,12,12,12,12,12,12,12,0
1,1,0,1,0,1,0,0,0
1,1,0.5,1,0.5,1,0.5,1,0.5
0,1,0.5,1,0.5,1,0.5,0,0.5
70,70,70,100,80,90,65,80,80
3,1,3,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
0,0,0,1,0,0,0,1,1
