Smartwatch
Apple Watch Sport,Moto 360 2nd Gen,Huawei Watch,Fossil Q Founder,LG Watch Urbane,Sony SmartWatch 3,Samsung Gear S2,ASUS ZenWatch 2,Pebble Time Round,Pebble Time
9.88,9.65,9.33,9.23,8.88,8.85,8.65,8.50,8.43,8.00
7,6,6,6,6,6,5,6,7,7
9,9,6,5,4,6,7,6,9,8
6,6,6,6,5,6,5,5,9,9
9,8,8,8,8,6,7,6,8,5
1.65,1.56,1.4,1.81,1.3,1.6,1.2,1.63,1.25,1.25
121680,117000,160000,117360,102400,102400,129600,102400,32400,24192
326,263,286,240,245,283,302,278,203,182
0.4566,0.3048780488,0.4694835681,0.1960784314,0.4347826087,0.3846153846,0.4545454545,0.4166666667,1,0.6666666667
2.4390243902,2.2222222222,2.2727272727,1.9607843137,2.3255813953,2.5641025641,2.2222222222,2.7027027027,3.4482758621,2.7027027027
2,1,1,1,3,1,2,2,4,4
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0
512,512,512,1000,512,512,512,512,0.256,0.256
8,4,4,4,4,4,4,4,0.02,0.02
246,400,300,400,410,420,250,400,56,150
1,1.5,1.5,1,1.75,2,1.25,1.5,2.25,7
10000,4000,4000,4000,4000,4000,6000,4000,1000,6000
30,30,30,30,30,45,45,30,30,0.5
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,1,0,0,0
1,1,0,1,0,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,1,0,0,0,1,0,0
1,0,1,1,1,1,0,0,1,1
1,0,0,0,0,1,1,0,0,0
1,1,1,1,1,1,0,1,1,1
0,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,0,1,1
0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,0,0
