BLENDER
Dash Chef,Vitamix CIA,Vitamix 5200,Waring,Ninja Professional,KitchenAid 5-Speed,NutriBullet,Blendtec Classic,Magic Bullet,Omega BL330R
9.50,8.50,8.45,8.40,7.85,7.65,7.45,7.23,6.35,5.15
95,95,92.5,85,92.5,90,87.5,75,50,45
82.5,80,90,87.5,100,55,65,95,55,45
100,95,90,80,55,45,45,80,60,50
95,100,100,90,55,65,82.5,40,57.5,55
155,145,140,145,100,100,120,80,80,100
1400,1491,1380,1500,1000,550,600,1560,250,600
6,10,10,3,3,5,1,4,1,2
67,64,64,64,72,60,24,90,18,48
0,0,0,0,0,0,1,0,1,0
94,95,95,89,93,71,96,97,93,96
0.05102,0.04878,0.04878,0.05128,0.06061,0.06061,0.07143,0.06667,0.09524,0.06349
0.1111111,0.1379310,0.1379310,0.1176471,0.1666667,0.1111111,0.1538462,0.1428571,0.2222222,0.1600000
0.1113586,0.1142857,0.1142857,0.1176471,0.1333333,0.1176471,0.2000000,0.1333333,0.2222222,0.1212121
1,1,1,1,1,0,1,0,1,0
1,0,0,1,1,1,1,1,1,0
1,1,1,0,0,1,0,0,0,0
1,0,0,1,1,1,1,1,1,0
1,7,7,2,1,1,1,8,1,2
50,7,7,5,1,1,1,8,1,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,1,0,0,0,0
