Universal Remote
Logitech Harmony One,Logitech Harmony 700,Logitech Harmony 650,URC Digital R50,Philips Prestigo SRU8010,Logitech Harmony 300
10.00,8.58,7.95,6.58,6.28,6.13
15,6,5,18,10,4
1,1,1,1,1,0
1,1,1,0,1,1
1,1,1,0,0,1
1,1,1,1,1,1
1,1,1,1,0,0
1,1,1,1,0,0
1,0,0,0,0,0
1,1,1,0,0,1
1,1,0,1,1,0
1,1,1,1,1,1
65,0,0,49,23,0
0,0,0,0,1,0
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,0,0
1,1,0,0,0,0
1,1,1,1,1,1
1,0,0,0,0,0
1,1,1,0,0,0
1,1,1,1,1,0
1,1,1,0,0,1
1,1,1,0,0,1
1,1,1,0,0,0
1,1,1,0,0,1
0,0,0,0,1,1
0,0,0,1,1,1
1,2,1,1,0.25,0.5
