Vinyl Converter Turntable
Ion Archive,Audio-Technica LP120,Numark TTUSB,Audio-Technica LP60,Stanton T.92,Crosley Advance,TEAC,Stanton T.55 USB,Pyle
7.65,7.55,7.28,7.18,7.05,6.93,6.73,6.63,3.58
7,7,4,7,6,5,2,4,2
1,1,1,1,1,1,1,1,0
1,0,0,0,0,0,1,0,1
0,1,0,1,1,1,1,1,0
0,1,0,1,1,1,1,1,0
0,1,0,1,1,1,1,1,0
0,1,1,0,1,1,0,1,0
1,1,1,1,1,1,1,1,0
0,1,0,1,1,1,1,1,1
0.5,1,1,1,1,1,0.5,1,0.5
1,1,1,1,1,1,0,1,0
1,0,0,0,0,0,1,0,1
0,0,1,0,0,0,1,0,1
0,1,1,0,1,1,0,0,0
0,1,1,0,1,1,0,1,0
1,0,1,0,1,0,0,1,0
1,0,1,0,0,0,0,0,0
1,1,1,1,0,1,1,0,0
0.25,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1
