Walkie Talkie
Cobra CXT 1000 Series,Uniden GMR5000 Series,Midland GXT Series,Motorola Talkabout MU Series,Motorola Talkabout MR Series,Motorola Talkabout MS Series,Midland LXT Series,Cobra CXT 500 Series,Cobra CXT 300 Series
9.68,9.63,9.58,9.48,9.38,9.25,9.00,8.00,7.83
37,50,36,35,35,35,30,28,23
22,22,50,22,22,22,36,22,22
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,0
1,1,1,0.5,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,0
1,0,0,1,1,1,1,1,1
2,0.3333333333,2.2222222222,2.4390243902,2.5,2,3.3333333333,2.8571428571,4.1666666667
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0
1,1,1,1,0,1,1,1,1
1,0.5,3,1,1,1,3,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
