Wireless Digital Frames
Sungale Cloud Frame,Pix-Star FotoConnect,Nixplay Edge,Sungale Wi-Fi DPF,Nixplay Seed,Cube,Pigeon Tyke
8.88,8.85,8.40,8.05,6.75,6.65,6.60
7,10,8,7,7,5,10
0,0,0,0,1,1,0
82,78.12,72.5,76,75,77.50,46
4,4,2,4,8,4,2
614400,480000,786432,614400,614400,589824,786432
1,0.5,0.5,1,1.1,0.1,0.5
1,1,1,1,1,1,0
1,1,1,1,1,1,1
1,0,1,1,1,0,0
1,1,1,1,0,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,0
1,1,1,1,1,0,0
1,1,1,1,1,0,0
1,1,1,1,1,1,0
1,1,1,1,1,0,0
1,1,1,1,1,0,0
1,1,1,0,1,0,0
1,1,0,1,0,0,0
80,80,75,80,75,75,100
50,75,75,50,50,75,100
1,1,1,1,1,0,1
1,0,0,1,0,1,0
1,1,1,0,1,1,1
0,1,1,0,1,0,1
0,0,1,0,1,0,1
2,12,0.5,2,0.5,0,120
4,12,4,4,2,0,1
1,1,1,1,1,1,1
1,1,1,1,0,0,1
1,1,1,1,0,0,1
1,1,1,1,0,0,1
1,1,0,1,0,0,0
0,1,0,0,0,0,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,0,1,1,1,0,0
0,0,1,0,1,0,0
