AV Receiver
Onkyo TX-NR,Sony STR-DN,Pioneer VSX,Denon AVR,Harman Kardon AVR,Pioneer VSX 1024K,Yamaha RX-V,Yamaha HTR,Marantz NR,NAD T,Sherwood R,Sherwood RD
9.70,9.13,8.78,8.63,8.48,8.40,8.10,7.95,7.70,7.15,0.00,0.00
1,1,1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,0,0
1,1,1,1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
95,95,90,80,100,80,80,80,50,80,0,0
106,0,98,98,100,98,100,100,98,100,0,0
12.5,11.1111111111,12.5,12.5,14.2857142857,12.5,11.1111111111,11.1111111111,12.5,12.5,0,0
200,500,200,200,250,200,200,200,130,250,0,0
1,1,1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,1,0,0,0
1,1,0,1,1,0,0,0,0,0,0,0
7.2,7.2,7.2,7.1,7.2,7.2,7.2,5.1,5.1,7.1,0,0
7,5,7,6,6,6,6,5,6,4,0,0
2,1,2,1,2,1,1,1,1,1,0,0
1,2,2,2,2,1,1,2,1,3,0,0
2,0,0,0,0,0,0,0,0,0,0,0
6,4,3,2,3,3,4,4,3,3,0,0
0,0,1,0,0,0,1,1,0,0,0,0
3,2,1,2,3,2,4,5,3,4,0,0
1,1,0,1,0,1,2,1,1,0,0,0
1,0,3,0,0,1,2,2,0,3,0,0
1,0,0,0,0,1,1,1,0,0,0,0
1,1,1,1,1,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0,0,0
2,2,1,2,2,1,2,2,3,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
0,1,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1
