Bluetooth Speakers
Fugoo,Jabra Solemate,Logitech Ultimate Ears Boom,Outdoor Tech Turtle Shell,Jawbone Jambox,Altec Life Jacket,JBL Charge,Creative Sound BlasterAxx,Beats Pill,Bose SoundLink,Philips Shoqbox,Soundmatters foxL,iHome iBT,Soundfreaq Sound Platform,Sony SRS,Bem Wireless Speaker Trio
10.00,9.28,9.05,8.75,8.38,8.25,8.08,7.93,7.50,7.25,7.20,7.13,6.20,5.88,5.83,5.63
100,95,95,90,95,85,90,85,80,100,85,80,85,85,80,85
4,4,2,2,2,3,2,2,4,4,2,2,4,2,2,3
2,1,2,1,2,0,1,0,1,2,1,1,0,1,2,3
1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,14,15,16,15,16,12,15,15,14,8,20,10,6,6,6
3.5,3.5,3.4,3.5,3.5,3.5,3.5,3.4,3.4,3,3,3.5,10,3,4,3
1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0
1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1
1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0
1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0
1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0
1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0.25
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1
