Bookshelf Speakers
Klipsch Synergy,Polk TSx,Boston Acoustics CS,Polk RTiA,Cerwin-Vega XLS,PSB Alpha,JBL ES,Fluance XL,BIC America,Definitive Technology ProMonitor,Pioneer SP,Yamaha NS,Dayton Audio B652,Micca MB
9.38,9.23,8.88,8.40,8.25,8.10,8.08,7.83,7.75,7.28,6.90,6.75,6.65,5.50
100,95,95,90,90,85,80,85,80,85,90,75,70,70
92.5,90,89,89,85,89,86,84,90,89,85,86,87,85
0.0161290323,0.0238095238,0.0192307692,0.0333333333,0.02,0.0153846154,0.0166666667,0.0166666667,0.023255814,0.0175438596,0.0181818182,0.0133333333,0.0142857143,0.0166666667
23,25,25,27,20,21,40,20,21,30,20,35,20,20
340,125,150,125,125,90,125,120,175,150,80,150,75,75
0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.1666666667,0.1666666667,0.1666666667,0.125
1,5,5,5,2,5,5,2,5,2,2,5,2,5
0.08,0.0714285714,0.0816326531,0.0833333333,0.0657894737,0.0840336134,0.08,0.0877192982,0.0704225352,0.119047619,0.1388888889,0.119047619,0.0847457627,0.1052631579
0.1428571429,0.125,0.1212121212,0.1351351351,0.1265822785,0.1388888889,0.1449275362,0.1234567901,0.1123595506,0.2040816327,0.0793650794,0.243902439,0.1408450704,0.1724137931
0.125,0.0833333333,0.1098901099,0.0869565217,0.0869565217,0.1025641026,0.125,0.1111111111,0.1098901099,0.2,0.119047619,0.1923076923,0.15625,0.1538461538
0.0909090909,0.0735294118,0.1,0.0833333333,0.0625,0.0980392157,0.0970873786,0.1162790698,0.064516129,0.3333333333,0.1086956522,0.2857142857,0.0862068966,0.125
5.25,6.25,6.5,5.25,6.5,5.25,5,5,6.5,4.5,4,3.12,6.12,4
0.75,1,1,1,1,0.75,0.75,1,0.75,1,1,0,0.75,0.75
2250,0,2500,1900,2000,3000,12000,0,3500,0,3000,0,0,0
5,5,5,5,5,5,5,50,7,5,1,2,5,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,0,0,0,1,1,1
1,1,1,1,1,1,1,1,0,0,1,1,0,0
