Car Audio
Sony MEX,Kenwood eXcelon,Pioneer DEH,Alpine CDE,Clarion CZ,Dual DC,Blaupunkt Toronto,Boss Audio UA,Pyle PLR,Jensen MP,Alpine UTE,JVC Arsenal,Kenwood KDC,Sony DSX
10.00,9.80,9.40,9.08,8.63,8.03,7.85,7.73,7.00,5.35,0.00,0.00,0.00,0.00
220,200,200,200,200,240,200,240,320,0,0,0,0,0
68,88,88,72,76,72,88,80,0,0,0,0,0,0
120,110,94,105,94,80,80,50,50,0,0,0,0,0
5,4,4,4,5,2,2,2,2,0,0,0,0,0
10,13,5,10,5,5,3,5,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,1,1,0,0,0,0,0,0
1,1,1,1,1,0,1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,1,0.5,1,0.5,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,0,1,1,0,0,0,0,0
1,1,1,1,1,0,1,0,0,0,0,0,0,0
1,1,1,1,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,0,0,0,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,0,0,0,0,0
1,1,1,1,0,1,1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0,0,0,0,0,0
3,2,1,1,1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,1,0,0,0,0,0,0,0
1,1,1,1,0,1,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0
1,1,1,0,1,1,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,0,0,0,0
