Center Speaker
Polk Audio TSi CS10,Yamaha NS-C444,Polk Audio CSi A4,BIC America Venturi DV62CLR-S,Definitive Technology ProCenter 1000,JBL ES25C,Infinity Primus PC251,Klipsch Synergy C-10,Pioneer SP-C22
8.23,8.00,7.98,7.95,7.83,7.83,7.70,7.63,7.03
0.0188679245,0.0153846154,0.0181818182,0.0263157895,0.0212765957,0.0125,0.0125,0.01,0.0181818182
25,35,27,20,30,40,20,23,20
91,89,89,90,90,90,90,93.5,88
3,3,3,3,3,4,3,3,3
2500,3000,0,3500,0,3000,3000,3000,3000
1,1,1,1.3333333333,1,1.3333333333,1.3333333333,1.3333333333,1
5.25,5,5.25,6.5,4.5,5,5.25,4,4
0.008,0.004,0.0055555556,0.0057142857,0.005,0.0066666667,0.0066666667,0.005,0.0111111111
5,2,5,2,5,0,5,1,5
1,1,1,1,1,1,1,1,1
0.1538461538,0.1333333333,0.1449275362,0.1298701299,0.2,0.1428571429,0.1315789474,0.1666666667,0.1176470588
0.05,0.049382716,0.05,0.05,0.0701754386,0.0534759358,0.0555555556,0.0625,0.0552486188
0.1025641026,0.119047619,0.1142857143,0.1,0.2,0.1,0.1041666667,0.1904761905,0.1408450704
0.0625,0.0621118012,0.064516129,0.04,0.1428571429,0.0595238095,0.0490196078,0.125,0.0740740741
5,2,5,7,5,5,5,5,0
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,0,0
